Code,Date,Time,Open,High,Low,Close,Volume,Turnover,MatchItems,Interest
000001.SH1,20130104,93000,2289.5099,2289.5099,2289.5099,2289.5099,120269600,956021800.0000,40471,0
000001.SH1,20130104,94000,2292.6019,2295.5519,2285.3898,2285.5139,1603052000,13403166600.0000,539369,0
000001.SH1,20130104,95000,2284.8234,2285.0760,2280.2589,2280.9936,879149200,7474116200.0000,325695,0
000001.SH1,20130104,100000,2281.5945,2288.8940,2281.1899,2287.9740,842147100,7136189200.0000,306716,0
000001.SH1,20130104,101000,2288.7933,2288.8060,2283.9691,2284.8041,790646500,6880544100.0000,293437,0
000001.SH1,20130104,102000,2284.1396,2284.7375,2280.6158,2284.1218,667126700,5616478400.0000,248391,0
000001.SH1,20130104,103000,2283.6809,2287.5653,2282.7227,2283.6272,647699400,5160588400.0000,235031,0
000001.SH1,20130104,104000,2283.2471,2283.2471,2269.9294,2272.7158,833541000,6599620300.0000,342594,0
000001.SH1,20130104,105000,2272.4054,2276.8401,2271.5256,2276.4835,428369700,3469251400.0000,172811,0
000001.SH1,20130104,110000,2276.0969,2277.0967,2272.3008,2272.6644,385590200,3217451500.0000,146705,0
000001.SH1,20130104,111000,2271.9637,2273.3935,2269.4172,2270.1821,435760900,3520072200.0000,172632,0
000001.SH1,20130104,112000,2269.8831,2269.8831,2256.5963,2258.6688,673218500,5197844600.0000,277397,0
000001.SH1,20130104,113000,2263.1491,2264.9744,2261.3442,2264.0092,362675200,2898521400.0000,144492,0
000001.SH1,20130104,131000,2264.0440,2272.1934,2262.4435,2270.1735,399971700,3263191400.0000,174282,0
000001.SH1,20130104,132000,2270.7853,2272.4608,2269.0549,2270.1082,263837300,2285425100.0000,114236,0
000001.SH1,20130104,133000,2270.5549,2274.0527,2268.4147,2273.5219,287595700,2431806200.0000,121107,0
000001.SH1,20130104,134000,2273.6284,2276.2811,2271.7432,2275.8088,348360700,3032903100.0000,139969,0
000001.SH1,20130104,135000,2275.5049,2275.8479,2273.4271,2275.1281,366638900,3132536200.0000,146321,0
000001.SH1,20130104,140000,2274.9340,2277.0814,2274.3465,2276.1700,360056400,2949695600.0000,144492,0
000001.SH1,20130104,141000,2276.7878,2283.2125,2276.0777,2281.4461,530093000,4237478800.0000,195385,0
000001.SH1,20130104,142000,2280.8662,2285.9857,2280.3590,2285.7583,510777700,4106748600.0000,189554,0
000001.SH1,20130104,143000,2286.4621,2286.8264,2281.4039,2281.4039,560100100,4494791900.0000,207356,0
000001.SH1,20130104,144000,2282.5803,2282.5803,2275.8689,2277.2517,499166600,3962779300.0000,189317,0
000001.SH1,20130104,145000,2277.2272,2279.3323,2275.5487,2278.5120,461219500,3759777900.0000,184595,0
000001.SH1,20130104,150000,2277.9015,2278.8024,2275.7692,2276.9916,689929500,5440763700.0000,281205,0
